symbol,company_name,sector,isin,dhan_security_id,lot_size,tick_size,yfinance_symbol
DMART,Avenue Supermarts Ltd.,Consumer Services,INE192R01011,19913,1.0,10.0,DMART.NS
AXISBANK,Axis Bank Ltd.,Financial Services,INE238A01034,5900,1.0,10.0,AXISBANK.NS
BEML,BEML Ltd.,Capital Goods,INE258A01024,395,1.0,10.0,BEML.NS
BLS,BLS International Services Ltd.,Consumer Services,INE153T01027,17279,1.0,1.0,BLS.NS
BSE,BSE Ltd.,Financial Services,INE118H01025,19585,1.0,10.0,BSE.NS
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,INE917I01010,16669,1.0,50.0,BAJAJ-AUTO.NS
BAJFINANCE,Bajaj Finance Ltd.,Financial Services,INE296A01032,317,1.0,5.0,BAJFINANCE.NS
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,INE918I01026,16675,1.0,10.0,BAJAJFINSV.NS
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services,INE118A01012,305,1.0,50.0,BAJAJHLDNG.NS
BAJAJHFL,Bajaj Housing Finance Ltd.,Financial Services,INE377Y01014,25270,1.0,1.0,BAJAJHFL.NS
BALKRISIND,Balkrishna Industries Ltd.,Automobile and Auto Components,INE787D01026,335,1.0,10.0,BALKRISIND.NS
BALRAMCHIN,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,INE119A01028,341,1.0,5.0,BALRAMCHIN.NS
BANDHANBNK,Bandhan Bank Ltd.,Financial Services,INE545U01014,2263,1.0,1.0,BANDHANBNK.NS
BANKBARODA,Bank of Baroda,Financial Services,INE028A01039,4668,1.0,1.0,BANKBARODA.NS
BANKINDIA,Bank of India,Financial Services,INE084A01016,4745,1.0,1.0,BANKINDIA.NS
MAHABANK,Bank of Maharashtra,Financial Services,INE457A01014,11377,1.0,1.0,MAHABANK.NS
BATAINDIA,Bata India Ltd.,Consumer Durables,INE176A01028,371,1.0,5.0,BATAINDIA.NS
BAYERCROP,Bayer Cropscience Ltd.,Chemicals,INE462A01022,17927,1.0,10.0,BAYERCROP.NS
BELRISE,Belrise Industries Ltd.,Automobile and Auto Components,INE894V01022,757102,1.0,1.0,BELRISE.NS
BERGEPAINT,Berger Paints India Ltd.,Consumer Durables,INE463A01038,404,1.0,5.0,BERGEPAINT.NS
BDL,Bharat Dynamics Ltd.,Capital Goods,INE171Z01026,2144,1.0,10.0,BDL.NS
BEL,Bharat Electronics Ltd.,Capital Goods,INE263A01024,383,1.0,5.0,BEL.NS
BHARATFORG,Bharat Forge Ltd.,Automobile and Auto Components,INE465A01025,422,1.0,10.0,BHARATFORG.NS
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods,INE257A01026,438,1.0,1.0,BHEL.NS
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,INE029A01011,526,1.0,5.0,BPCL.NS
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication,INE397D01024,10604,1.0,10.0,BHARTIARTL.NS
BHARTIHEXA,Bharti Hexacom Ltd.,Telecommunication,INE343G01021,23489,1.0,10.0,BHARTIHEXA.NS
BIKAJI,Bikaji Foods International Ltd.,Fast Moving Consumer Goods,INE00E101023,11966,1.0,5.0,BIKAJI.NS
GROWW,Billionbrains Garage Ventures Ltd.,Financial Services,INE0HOQ01053,759806,1.0,1.0,GROWW.NS
BIOCON,Biocon Ltd.,Healthcare,INE376G01013,11373,1.0,5.0,BIOCON.NS
BSOFT,Birlasoft Ltd.,Information Technology,INE836A01035,6994,1.0,5.0,BSOFT.NS
BLUEDART,Blue Dart Express Ltd.,Services,INE233B01017,495,1.0,10.0,BLUEDART.NS
BLUEJET,Blue Jet Healthcare Ltd.,Healthcare,INE0KBH01020,19686,1.0,5.0,BLUEJET.NS
BLUESTARCO,Blue Star Ltd.,Consumer Durables,INE472A01039,8311,1.0,10.0,BLUESTARCO.NS
BBTC,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,INE050A01025,380,1.0,10.0,BBTC.NS
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,INE323A01026,2181,1.0,500.0,BOSCHLTD.NS
FIRSTCRY,Brainbees Solutions Ltd.,Consumer Services,INE02RE01045,24814,1.0,1.0,FIRSTCRY.NS
BRIGADE,Brigade Enterprises Ltd.,Realty,INE791I01019,15184,1.0,5.0,BRIGADE.NS
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods,INE216A01030,547,1.0,50.0,BRITANNIA.NS
MAPMYINDIA,C.E. Info Systems Ltd.,Information Technology,INE0BV301023,7227,1.0,5.0,MAPMYINDIA.NS
CCL,CCL Products (I) Ltd.,Fast Moving Consumer Goods,INE421D01022,11452,1.0,10.0,CCL.NS
CESC,CESC Ltd.,Power,INE486A01021,628,1.0,1.0,CESC.NS
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods,INE067A01029,760,1.0,5.0,CGPOWER.NS
CRISIL,CRISIL Ltd.,Financial Services,INE007A01025,757,1.0,10.0,CRISIL.NS
CANFINHOME,Can Fin Homes Ltd.,Financial Services,INE477A01020,583,1.0,5.0,CANFINHOME.NS
CANBK,Canara Bank,Financial Services,INE476A01022,10794,1.0,1.0,CANBK.NS
CANHLIFE,Canara HSBC Life Insurance Company Ltd.,Financial Services,INE01TY01017,759477,1.0,1.0,CANHLIFE.NS
CAPLIPOINT,Caplin Point Laboratories Ltd.,Healthcare,INE475E01026,3906,1.0,10.0,CAPLIPOINT.NS
CGCL,Capri Global Capital Ltd.,Financial Services,INE180C01042,20329,1.0,1.0,CGCL.NS
CARBORUNIV,Carborundum Universal Ltd.,Capital Goods,INE120A01034,595,1.0,5.0,CARBORUNIV.NS
CARTRADE,Cartrade Tech Ltd.,Consumer Services,INE290S01011,5407,1.0,10.0,CARTRADE.NS
CASTROLIND,Castrol India Ltd.,Oil Gas & Consumable Fuels,INE172A01027,1250,1.0,1.0,CASTROLIND.NS
CEATLTD,Ceat Ltd.,Automobile and Auto Components,INE482A01020,15254,1.0,10.0,CEATLTD.NS
CEMPRO,Cemindia Projects Ltd.,Construction,INE686A01026,5622,1.0,5.0,CEMPRO.NS
CENTRALBK,Central Bank of India,Financial Services,INE483A01010,14894,1.0,1.0,CENTRALBK.NS
CDSL,Central Depository Services (India) Ltd.,Financial Services,INE736A01011,21174,1.0,10.0,CDSL.NS
CHALET,Chalet Hotels Ltd.,Consumer Services,INE427F01016,8546,1.0,5.0,CHALET.NS
