timestamp,regime,nifty_close,nifty_vs_200ema_pct,nifty_rsi,nifty_5d_pct,vix,size_mult,reasoning
2026-04-30T09:39:16,NEUTRAL,23914.75,-3.73,52.6,-1.07,18.4,0.5,"Choppy: close vs 50-EMA=-1.1%, RSI=53 — half-size only"
2026-04-30T09:39:29,NEUTRAL,23912.40,-3.74,52.5,-1.08,18.4,0.5,"Choppy: close vs 50-EMA=-1.1%, RSI=53 — half-size only"
2026-04-30T09:55:10,NEUTRAL,23902.70,-3.78,52.4,-1.12,18.5,0.5,"Choppy: close vs 50-EMA=-1.2%, RSI=52 — half-size only"
2026-04-30T09:58:44,NEUTRAL,23882.80,-3.86,52.0,-1.2,18.6,0.5,"Choppy: close vs 50-EMA=-1.3%, RSI=52 — half-size only"
2026-04-30T10:03:00,NEUTRAL,23858.30,-3.96,51.5,-1.3,18.8,0.5,"Choppy: close vs 50-EMA=-1.4%, RSI=52 — half-size only"
2026-04-30T10:04:21,NEUTRAL,23855.00,-3.97,51.4,-1.32,18.8,0.5,"Choppy: close vs 50-EMA=-1.4%, RSI=51 — half-size only"
2026-04-30T10:06:07,NEUTRAL,23854.85,-3.97,51.4,-1.32,19.0,0.5,"Choppy: close vs 50-EMA=-1.4%, RSI=51 — half-size only"
